Datum;Schluss
19.11.2020;57,78
20.11.2020;57,65
23.11.2020;58,38
24.11.2020;61,15
25.11.2020;60,21
26.11.2020;60,07
27.11.2020;60,92
30.11.2020;61,33
01.12.2020;61,11
02.12.2020;60,97
03.12.2020;60,66
04.12.2020;61,04
07.12.2020;60,75
08.12.2020;61,62
09.12.2020;63,44
10.12.2020;64,04
11.12.2020;63,11
14.12.2020;63,9
15.12.2020;64,76
16.12.2020;64,2
17.12.2020;64,9
18.12.2020;64,52
21.12.2020;63,53
22.12.2020;63,85
23.12.2020;64,69
28.12.2020;65,22
29.12.2020;65,07
30.12.2020;64,72
04.01.2021;64,89
05.01.2021;64,4
06.01.2021;67,37
07.01.2021;68,41
08.01.2021;68,58
11.01.2021;67,55
12.01.2021;67,9
13.01.2021;68,03
14.01.2021;68,1
15.01.2021;67,29
18.01.2021;67,48
19.01.2021;66,59
20.01.2021;67,36
21.01.2021;67,33
22.01.2021;66,28
25.01.2021;64,53
26.01.2021;65,24
27.01.2021;63,88
28.01.2021;64,53
29.01.2021;63,83
01.02.2021;64,81
02.02.2021;65,43
03.02.2021;66,16
04.02.2021;66,66
05.02.2021;66,81
08.02.2021;67,36
09.02.2021;67,27
10.02.2021;67,15
11.02.2021;67,07
12.02.2021;66,82
15.02.2021;67,4
16.02.2021;67,67
17.02.2021;67,16
18.02.2021;67,03
19.02.2021;68
22.02.2021;68,99
23.02.2021;68,32
24.02.2021;69,4
25.02.2021;68,16
26.02.2021;67,73
01.03.2021;69,09
02.03.2021;70,27
03.03.2021;71,14
04.03.2021;71,08
05.03.2021;70,68
08.03.2021;72,61
09.03.2021;71,78
10.03.2021;72,5
11.03.2021;72,19
12.03.2021;72,6
15.03.2021;70,56
16.03.2021;70,09
17.03.2021;70,76
18.03.2021;72,6
19.03.2021;69,97
22.03.2021;69,58
23.03.2021;69,01
24.03.2021;69,98
25.03.2021;70,46
26.03.2021;69,82
29.03.2021;70,03
30.03.2021;71,88
31.03.2021;70,84
01.04.2021;71,05
06.04.2021;72,24
07.04.2021;72,35
08.04.2021;71,45
09.04.2021;71,49
12.04.2021;71,08
13.04.2021;71,14
14.04.2021;70,96
15.04.2021;71,03
16.04.2021;72,45
19.04.2021;71,76
20.04.2021;70,97
21.04.2021;71,12
22.04.2021;70,18
23.04.2021;70,42
26.04.2021;71,35
27.04.2021;71,07
28.04.2021;70,89
29.04.2021;70,52
30.04.2021;67,08
03.05.2021;67,06
04.05.2021;66,83
05.05.2021;69,36
06.05.2021;70,22
07.05.2021;70,38
10.05.2021;70,76
11.05.2021;69,25
12.05.2021;69,13
13.05.2021;68,91
14.05.2021;69,13
17.05.2021;69,16
18.05.2021;68,97
19.05.2021;67,24
20.05.2021;67,64
21.05.2021;67,84
25.05.2021;67,11
26.05.2021;66,75
27.05.2021;66,37
28.05.2021;67,15
31.05.2021;66,66
01.06.2021;67,95
02.06.2021;68,13
03.06.2021;68,35
04.06.2021;68,55
07.06.2021;68,51
08.06.2021;68,25
09.06.2021;67,45
10.06.2021;67,18
11.06.2021;67,51
14.06.2021;67,24
15.06.2021;67,05
16.06.2021;66,47
17.06.2021;66,11
18.06.2021;64,56
21.06.2021;65,69
22.06.2021;66,15
23.06.2021;65,3
24.06.2021;65,61
25.06.2021;66,05
28.06.2021;65,3
29.06.2021;66,83
30.06.2021;66,44
01.07.2021;67,19
02.07.2021;67,18
05.07.2021;67,5
06.07.2021;66,04
07.07.2021;66,4
