Datum;Schluss
2020-11-19;57.78
2020-11-20;57.65
2020-11-23;58.38
2020-11-24;61.15
2020-11-25;60.21
2020-11-26;60.07
2020-11-27;60.92
2020-11-30;61.33
2020-12-01;61.11
2020-12-02;60.97
2020-12-03;60.66
2020-12-04;61.04
2020-12-07;60.75
2020-12-08;61.62
2020-12-09;63.44
2020-12-10;64.04
2020-12-11;63.11
2020-12-14;63.9
2020-12-15;64.76
2020-12-16;64.2
2020-12-17;64.9
2020-12-18;64.52
2020-12-21;63.53
2020-12-22;63.85
2020-12-23;64.69
2020-12-28;65.22
2020-12-29;65.07
2020-12-30;64.72
2021-01-04;64.89
2021-01-05;64.4
2021-01-06;67.37
2021-01-07;68.41
2021-01-08;68.58
2021-01-11;67.55
2021-01-12;67.9
2021-01-13;68.03
2021-01-14;68.1
2021-01-15;67.29
2021-01-18;67.48
2021-01-19;66.59
2021-01-20;67.36
2021-01-21;67.33
2021-01-22;66.28
2021-01-25;64.53
2021-01-26;65.24
2021-01-27;63.88
2021-01-28;64.53
2021-01-29;63.83
2021-02-01;64.81
2021-02-02;65.43
2021-02-03;66.16
2021-02-04;66.66
2021-02-05;66.81
2021-02-08;67.36
2021-02-09;67.27
2021-02-10;67.15
2021-02-11;67.07
2021-02-12;66.82
2021-02-15;67.4
2021-02-16;67.67
2021-02-17;67.16
2021-02-18;67.03
2021-02-19;68
2021-02-22;68.99
2021-02-23;68.32
2021-02-24;69.4
2021-02-25;68.16
2021-02-26;67.73
2021-03-01;69.09
2021-03-02;70.27
2021-03-03;71.14
2021-03-04;71.08
2021-03-05;70.68
2021-03-08;72.61
2021-03-09;71.78
2021-03-10;72.5
2021-03-11;72.19
2021-03-12;72.6
2021-03-15;70.56
2021-03-16;70.09
2021-03-17;70.76
2021-03-18;72.6
2021-03-19;69.97
2021-03-22;69.58
2021-03-23;69.01
2021-03-24;69.98
2021-03-25;70.46
2021-03-26;69.82
2021-03-29;70.03
2021-03-30;71.88
2021-03-31;70.84
2021-04-01;71.05
2021-04-06;72.24
2021-04-07;72.35
2021-04-08;71.45
2021-04-09;71.49
2021-04-12;71.08
2021-04-13;71.14
2021-04-14;70.96
2021-04-15;71.03
2021-04-16;72.45
2021-04-19;71.76
2021-04-20;70.97
2021-04-21;71.12
2021-04-22;70.18
2021-04-23;70.42
2021-04-26;71.35
2021-04-27;71.07
2021-04-28;70.89
2021-04-29;70.52
2021-04-30;67.08
2021-05-03;67.06
2021-05-04;66.83
2021-05-05;69.36
2021-05-06;70.22
2021-05-07;70.38
2021-05-10;70.76
2021-05-11;69.25
2021-05-12;69.13
2021-05-13;68.91
2021-05-14;69.13
2021-05-17;69.16
2021-05-18;68.97
2021-05-19;67.24
2021-05-20;67.64
2021-05-21;67.84
2021-05-25;67.11
2021-05-26;66.75
2021-05-27;66.37
2021-05-28;67.15
2021-05-31;66.66
2021-06-01;67.95
2021-06-02;68.13
2021-06-03;68.35
2021-06-04;68.55
2021-06-07;68.51
2021-06-08;68.25
2021-06-09;67.45
2021-06-10;67.18
2021-06-11;67.51
2021-06-14;67.24
2021-06-15;67.05
2021-06-16;66.47
2021-06-17;66.11
2021-06-18;64.56
2021-06-21;65.69
2021-06-22;66.15
2021-06-23;65.3
2021-06-24;65.61
2021-06-25;66.05
2021-06-28;65.3
2021-06-29;66.83
2021-06-30;66.44
2021-07-01;67.19
2021-07-02;67.18
2021-07-05;67.5
2021-07-06;66.04
2021-07-07;66.4
2021-07-08;65.74
2021-07-09;68.01
2021-07-12;68.1
2021-07-13;67.9
2021-07-14;67.92
2021-07-15;67.4
2021-07-16;67.01
2021-07-19;64.54
2021-07-20;65.4
2021-07-21;66.49
2021-07-22;66.53
2021-07-23;67.02
2021-07-26;67.46
2021-07-27;67.08
2021-07-28;66.41
2021-07-29;66.76
2021-07-30;66.22
2021-08-02;66.08
2021-08-03;66.68
2021-08-04;66.57
2021-08-05;67.08
2021-08-06;67.08
2021-08-09;67.24
2021-08-10;67.48
2021-08-11;68.01
2021-08-12;68.75
2021-08-13;69.16
2021-08-16;68.26
2021-08-17;67.76
2021-08-18;68.02
2021-08-19;65.52
2021-08-20;64.77
2021-08-23;65.21
2021-08-24;66.58
2021-08-25;66.42
2021-08-26;65.97
2021-08-27;66.5
2021-08-30;66.76
2021-08-31;65.52
2021-09-01;64.6
2021-09-02;64.93
2021-09-03;64.81
2021-09-06;65.3
2021-09-07;65.25
2021-09-08;64.91
2021-09-09;64.63
2021-09-10;64.56
2021-09-13;65.61
2021-09-14;65.57
2021-09-15;64.81
2021-09-16;65.09
2021-09-17;63.09
2021-09-20;61.77
2021-09-21;62.39
2021-09-22;63.51
2021-09-23;63.94
2021-09-24;63.79
2021-09-27;64.72
2021-09-28;64.81
2021-09-29;65.83
2021-09-30;65.85
2021-10-01;64.6
2021-10-04;64.53
2021-10-05;64.61
2021-10-06;61.91
2021-10-07;63.34
2021-10-08;63.68
2021-10-11;64.19
2021-10-12;64.55
2021-10-13;64.9
2021-10-14;65.09
2021-10-15;65
2021-10-18;64.06
2021-10-19;63.74
2021-10-20;63.48
2021-10-21;62.8
2021-10-22;62.8
2021-10-25;63.2
2021-10-26;63.54
2021-10-27;63.45
2021-10-28;62.55
2021-10-29;62.28
2021-11-01;62.79
2021-11-02;62.21
2021-11-03;62.57
2021-11-04;61.51
2021-11-05;62.08
2021-11-08;62.04
2021-11-09;61.71
2021-11-10;61.95
2021-11-11;62.29
2021-11-12;62.65
2021-11-15;62.37
2021-11-16;62.84
2021-11-17;62.68
2021-11-18;62.63
2021-11-19;61.61
2021-11-22;61.93
2021-11-23;62.95
2021-11-24;61.89
2021-11-25;61.61
2021-11-26;57.91
2021-11-29;57.98
2021-11-30;57.88
2021-12-01;59.26
2021-12-02;59.08
2021-12-03;58.4
2021-12-06;59.59
2021-12-07;61.21
2021-12-08;60.29
2021-12-09;59.89
2021-12-10;59.83
2021-12-13;59.57
2021-12-14;59.57
2021-12-15;59.27
2021-12-16;60.34
2021-12-17;60.19
2021-12-20;59.06
2021-12-21;59.71
2021-12-22;59.95
2021-12-23;60.83
2021-12-27;61.29
2021-12-28;61.7
2021-12-29;61.47
2021-12-30;61.78
2022-01-03;62.58
2022-01-04;65.31
2022-01-05;65.83
2022-01-06;65.81
2022-01-07;66.11
2022-01-10;66.09
2022-01-11;66.69
2022-01-12;66.86
2022-01-13;67.75
2022-01-14;68.11
2022-01-17;68.14
2022-01-18;67.66
2022-01-19;67.8
2022-01-20;67.44
2022-01-21;66.18
2022-01-24;64.26
2022-01-25;65.33
2022-01-26;67.31
2022-01-27;68.45
2022-01-28;68.51
2022-01-31;67.52
2022-02-01;67.96
2022-02-02;67.95
2022-02-03;67.48
2022-02-04;66.71
2022-02-07;66.97
2022-02-08;68.2
2022-02-09;68.62
2022-02-10;68.56
2022-02-11;68.69
2022-02-14;66.45
2022-02-15;68.19
2022-02-16;68.52
2022-02-17;67.85
2022-02-18;67.26
2022-02-21;66.09
2022-02-22;65.27
2022-02-23;64.86
2022-02-24;61.06
2022-02-25;60.43
2022-02-28;59.25
2022-03-01;55.52
2022-03-02;57.29
2022-03-03;54.95
2022-03-04;51.2
2022-03-07;48.77
2022-03-08;49.78
2022-03-09;54.79
2022-03-10;53.21
2022-03-11;53.88
2022-03-14;54.66
2022-03-15;53.82
2022-03-16;55.31
2022-03-17;54.56
2022-03-18;54.02
2022-03-21;54.4
2022-03-22;54.56
2022-03-23;53.25
2022-03-24;52.3
2022-03-25;51.81
2022-03-28;52.65
2022-03-29;55.04
2022-03-30;53.29
2022-03-31;51.76
2022-04-01;52.13
2022-04-04;51.87
2022-04-05;51.13
2022-04-06;50.31
2022-04-07;50.35
2022-04-08;51.36
2022-04-11;51.4
2022-04-12;51.96
2022-04-13;51.34
2022-04-14;51.66
2022-04-19;52.19
2022-04-20;52.92
2022-04-21;53.62
2022-04-22;52.32
2022-04-25;51.73
2022-04-26;50.55
2022-04-27;50.36
2022-04-28;50.81
2022-04-29;50.41
2022-05-02;47.44
2022-05-03;47.51
2022-05-04;49.05
2022-05-05;47.58
2022-05-06;47.44
2022-05-09;47.08
2022-05-10;48.51
2022-05-11;49.6
2022-05-12;49.06
2022-05-13;49.38
2022-05-16;49.3
2022-05-17;50.69
2022-05-18;49.86
2022-05-19;48.86
2022-05-20;48.85
2022-05-23;49.74
2022-05-24;48.76
2022-05-25;49.47
2022-05-26;50.79
2022-05-27;51.11
2022-05-30;51.44
2022-05-31;51.29
2022-06-01;51.73
2022-06-02;52.6
2022-06-03;52.02
2022-06-06;52.52
2022-06-07;52.18
2022-06-08;52.68
2022-06-09;51.87
2022-06-10;49.63
2022-06-13;49.08
2022-06-14;48.39
2022-06-15;49.03
2022-06-16;45.67
2022-06-17;45.3
2022-06-20;45.75
2022-06-21;46.08
2022-06-22;43.4
2022-06-23;41.43
2022-06-24;42.22
2022-06-27;42.81
2022-06-28;43.03
2022-06-29;41.58
2022-06-30;41.53
2022-07-01;41.27
