Datum,Kurs
2019-10-01,135.1
2019-10-02,135.14
2019-10-04,135.09
2019-10-07,135.11
2019-10-08,135.08
2019-10-09,134.98
2019-10-10,134.8
2019-10-11,134.81
2019-10-14,134.88
2019-10-15,134.92
2019-10-16,134.9
2019-10-17,134.78
2019-10-18,134.84
2019-10-21,134.81
2019-10-22,134.88
2019-10-23,134.98
2019-10-24,134.95
2019-10-25,135.05
2019-10-28,135.02
2019-10-29,134.97
2019-10-30,134.94
2019-10-31,135.02
2019-11-04,135.12
2019-11-05,135.14
2019-11-06,135.11
2019-11-07,135.07
2019-11-08,134.92
2019-11-11,134.88
2019-11-12,134.79
2019-11-13,134.84
2019-11-14,134.83
2019-11-15,134.82
2019-11-18,134.76
2019-11-19,134.75
2019-11-20,134.71
2019-11-21,134.56
2019-11-22,134.56
2019-11-25,134.66
2019-11-26,134.81
2019-11-27,134.93
2019-11-28,134.97
2019-11-29,134.97
2019-12-02,134.82
2019-12-03,134.81
2019-12-04,134.94
2019-12-05,134.89
2019-12-06,134.95
2019-12-09,135.09
2019-12-10,135.16
2019-12-11,135.24
2019-12-12,135.3
2019-12-13,135.26
2019-12-16,135.46
2019-12-17,135.47
2019-12-18,135.51
2019-12-19,135.35
2019-12-20,132.54
2019-12-23,132.18
2019-12-27,132.61
2019-12-30,133.07
2020-01-02,132.2
2020-01-03,133.81
2020-01-06,134.15
2020-01-07,134.13
2020-01-08,134.07
2020-01-09,133
2020-01-10,133
2020-01-13,133
2020-01-14,133
2020-01-15,133
2020-01-16,133
2020-01-17,133
2020-01-20,133
2020-01-21,133
2020-01-22,134.39
2020-01-23,134.39
2020-01-24,134.47
2020-01-27,134.81
2020-01-28,134.75
2020-01-29,134.75
2020-01-30,134.75
2020-01-31,134.75
2020-02-03,134.94
2020-02-04,134.96
2020-02-05,134.92
2020-02-06,134.92
2020-02-07,135.04
2020-02-10,135.21
2020-02-11,135.21
2020-02-12,135.21
2020-02-13,135.21
2020-02-14,135.21
2020-02-17,134.8
2020-02-18,135.58
2020-02-19,135.71
2020-02-20,135.71
2020-02-21,135.71
2020-02-24,135.71
2020-02-25,135.52
2020-02-26,133.8
2020-02-27,133.8
2020-02-28,132.5
2020-03-02,133.08
2020-03-03,133.5
2020-03-04,133.5
2020-03-05,133.5
2020-03-06,133.5
2020-03-09,132.74
2020-03-10,131.39
2020-03-11,129.91
2020-03-12,129.76
2020-03-13,129.39
2020-03-16,127.99
2020-03-17,125.9
2020-03-18,120.36
2020-03-19,116.56
2020-03-20,116.56
2020-03-23,116.56
2020-03-24,116.56
2020-03-25,120.61
2020-03-26,120.61
2020-03-27,122.81
2020-03-30,120
2020-03-31,120
2020-04-01,120
2020-04-02,120
2020-04-03,120
2020-04-06,120
2020-04-07,120
2020-04-08,120
2020-04-09,120.3
2020-04-14,123.22
2020-04-15,128.4
2020-04-16,128.4
2020-04-17,129.4
2020-04-20,126.33
2020-04-21,125.08
2020-04-22,125.66
2020-04-23,125.66
2020-04-24,125.66
2020-04-27,126.38
2020-04-28,127.64
2020-04-29,127.64
2020-04-30,127.64
2020-05-04,128.16
2020-05-05,128.16
2020-05-06,128.01
2020-05-07,128.01
2020-05-08,127.72
2020-05-11,127.72
2020-05-12,127.39
2020-05-13,127.39
2020-05-14,126.2
2020-05-15,126.2
2020-05-18,126.2
2020-05-19,126.2
2020-05-20,126.2
2020-05-21,126.22
2020-05-22,127.48
2020-05-25,127.5
2020-05-26,127.27
2020-05-27,127.77
2020-05-28,128.14
2020-05-29,129.42
2020-06-02,129.49
2020-06-03,129.49
2020-06-04,129.49
2020-06-05,129.49
2020-06-08,130.36
2020-06-09,130.44
2020-06-10,130.44
2020-06-11,130.44
2020-06-12,130.5
2020-06-15,130.93
2020-06-16,130.93
2020-06-17,130.93
2020-06-18,130.93
2020-06-19,130.93
2020-06-22,130.93
2020-06-23,130.93
2020-06-24,130.93
2020-06-25,130.93
2020-06-26,130.93
2020-06-29,130.93
2020-06-30,130.93
2020-07-01,130.93
2020-07-02,130.37
2020-07-03,131.67
2020-07-06,131.93
2020-07-07,131.93
2020-07-08,130.84
2020-07-09,130.84
2020-07-10,130.86
2020-07-13,130.86
2020-07-14,130.86
2020-07-15,130.96
2020-07-16,132.26
2020-07-17,132.26
2020-07-20,132.26
2020-07-21,132.26
2020-07-22,132.64
2020-07-23,132.64
2020-07-24,132.64
2020-07-27,133.4
2020-07-28,133.4
2020-07-29,133.4
2020-07-30,133.4
2020-07-31,132.35
2020-08-03,132.35
2020-08-04,132.4
2020-08-05,132.5
2020-08-06,132.65
2020-08-07,132.74
2020-08-10,134.06
2020-08-11,134.06
2020-08-12,132.97
2020-08-13,132.97
2020-08-14,134.12
2020-08-17,134.12
2020-08-18,134.12
2020-08-19,133.03
2020-08-20,133.03
2020-08-21,133.03
2020-08-24,133.82
2020-08-25,133.78
2020-08-26,133.63
2020-08-27,133.63
2020-08-28,133.58
2020-08-31,133.44
2020-09-01,132.3
2020-09-02,132.6
2020-09-03,132.6
2020-09-04,132.84
2020-09-07,134
2020-09-08,134.01
2020-09-09,133.92
2020-09-10,133.81
2020-09-11,133.81
2020-09-14,134
2020-09-15,133.95
2020-09-16,134
2020-09-17,134
2020-09-18,134
2020-09-21,134
2020-09-22,133.8
2020-09-23,133.27
2020-09-24,133.73
2020-09-25,133.53
2020-09-28,133.52
2020-09-29,133.52
2020-09-30,133.52
2020-10-01,133.34
2020-10-02,133.34
2020-10-05,133.34
2020-10-06,133.34
2020-10-07,133.34
2020-10-08,133.24
2020-10-09,133.19
2020-10-12,133.27
2020-10-13,134.3
2020-10-14,134.3
2020-10-15,133.5
2020-10-16,133.5
