Datum,Kurs
2019-10-01,200.25
2019-10-02,194.72
2019-10-04,199.7
2019-10-07,199.7
2019-10-08,198.55
2019-10-09,198.55
2019-10-10,198.55
2019-10-11,199.38
2019-10-14,199.38
2019-10-15,203.73
2019-10-16,202.78
2019-10-17,203.56
2019-10-18,201.83
2019-10-21,201.42
2019-10-22,201.42
2019-10-23,201.42
2019-10-24,201.42
2019-10-25,204.34
2019-10-28,203.01
2019-10-29,203.01
2019-10-30,203.01
2019-10-31,203.01
2019-11-01,203.01
2019-11-04,204.72
2019-11-05,206.07
2019-11-06,206.07
2019-11-07,207.33
2019-11-08,207.5
2019-11-11,207.65
2019-11-12,208.39
2019-11-13,208.39
2019-11-14,209.68
2019-11-15,209.68
2019-11-18,209.68
2019-11-19,209.91
2019-11-20,209.43
2019-11-21,209.17
2019-11-22,209.17
2019-11-25,211.08
2019-11-26,211.08
2019-11-27,211.77
2019-11-28,213.39
2019-11-29,213.1
2019-12-02,211.25
2019-12-03,209.96
2019-12-04,209.96
2019-12-05,209.88
2019-12-06,210.02
2019-12-09,210.19
2019-12-10,210.19
2019-12-11,209.96
2019-12-12,211.88
2019-12-13,212.66
2019-12-16,214.07
2019-12-17,214.07
2019-12-18,215.01
2019-12-19,218.43
2019-12-20,214.73
2019-12-23,219.19
2019-12-27,219.81
2019-12-30,219.73
2020-01-02,219.25
2020-01-03,218.52
2020-01-06,219.59
2020-01-07,219.59
2020-01-08,221.81
2020-01-09,222.95
2020-01-10,222.94
2020-01-13,219.66
2020-01-14,224.21
2020-01-15,223.3
2020-01-16,224.65
2020-01-17,224.65
2020-01-20,226.27
2020-01-21,225.5
2020-01-22,225.64
2020-01-23,223.97
2020-01-24,224.65
2020-01-27,221.51
2020-01-28,221.51
2020-01-29,225
2020-01-30,222.72
2020-01-31,218.68
2020-02-03,216.77
2020-02-04,221.37
2020-02-05,228.39
2020-02-06,227.55
2020-02-07,226.07
2020-02-10,226.23
2020-02-11,230.63
2020-02-12,230.57
2020-02-13,229.67
2020-02-14,229.19
2020-02-17,230.75
2020-02-18,228.92
2020-02-19,228.92
2020-02-20,228.92
2020-02-21,227.52
2020-02-24,218.91
2020-02-25,212.98
2020-02-26,212.99
2020-02-27,202.48
2020-02-28,195.37
2020-03-02,204.03
2020-03-03,200.3
2020-03-04,206.44
2020-03-05,197.1
2020-03-06,191.01
2020-03-09,179.96
2020-03-10,185.69
2020-03-11,180.22
2020-03-12,165
2020-03-13,181
2020-03-16,164.62
2020-03-17,168.29
2020-03-18,161.78
2020-03-19,171.57
2020-03-20,169.73
2020-03-23,164.66
2020-03-24,177.77
2020-03-25,177.86
2020-03-27,177.42
2020-03-30,177.64
2020-03-31,182
2020-04-01,175.2
2020-04-02,178.98
2020-04-03,179
2020-04-06,187.43
2020-04-07,190.61
2020-04-08,191.28
2020-04-09,192.85
2020-04-14,195.99
2020-04-15,191.7
2020-04-16,196.51
2020-04-17,198.42
2020-04-20,200.5
2020-04-21,196.2
2020-04-22,199.52
2020-04-23,199.52
2020-04-24,200
2020-04-27,204.47
2020-04-28,203.76
2020-04-29,205.81
2020-04-30,200
2020-05-04,195.31
2020-05-05,201.82
2020-05-06,199
2020-05-07,200
2020-05-08,202.35
2020-05-11,206.43
2020-05-12,205.37
2020-05-13,199
2020-05-14,199.85
2020-05-15,202
2020-05-18,205.33
2020-05-19,205.33
2020-05-20,208.16
2020-05-21,207.94
2020-05-22,206.39
2020-05-25,209.86
2020-05-26,204.45
2020-05-27,206
2020-05-28,207.79
2020-05-29,203
2020-06-02,205.53
2020-06-03,211.55
2020-06-04,208.91
2020-06-05,209.22
2020-06-08,210.47
2020-06-09,210
2020-06-10,212
2020-06-11,207.17
2020-06-12,205
2020-06-15,205.06
2020-06-16,209.54
2020-06-17,209.54
2020-06-18,208.75
2020-06-19,210.59
2020-06-22,211.61
2020-06-23,214.52
2020-06-24,207.98
2020-06-25,209.97
2020-06-26,210.7
2020-06-29,209.41
2020-06-30,209.41
2020-07-01,212.81
2020-07-02,215
2020-07-03,215
2020-07-06,215.21
2020-07-07,214.89
2020-07-08,215.21
2020-07-09,216.91
2020-07-10,219.85
2020-07-13,221.18
2020-07-14,218.27
2020-07-15,220.01
2020-07-16,218.62
2020-07-17,218.08
2020-07-20,216.8
2020-07-21,222.27
2020-07-22,220.24
2020-07-23,218.68
2020-07-24,215.01
2020-07-27,215.01
2020-07-28,213.48
2020-07-29,213.48
2020-07-30,211
2020-07-31,210.51
2020-08-03,212.1
2020-08-04,216.25
2020-08-05,216.09
2020-08-06,215.51
2020-08-07,215.51
2020-08-10,217.77
2020-08-11,217.77
2020-08-12,220.51
2020-08-13,219.94
2020-08-14,218.85
2020-08-17,217.16
2020-08-18,217.06
2020-08-19,217.06
2020-08-20,217.06
2020-08-21,217.16
2020-08-24,219.75
2020-08-25,223.96
2020-08-26,225.61
2020-08-27,225.61
2020-08-28,226.03
2020-08-31,225.71
2020-09-01,224.99
2020-09-02,227.82
2020-09-03,224.43
2020-09-04,220.55
2020-09-07,220.61
2020-09-08,218.42
2020-09-09,220.45
