Datum,Kurs
2020-11-09,50.73
2020-11-10,50.12
2020-11-11,50.13
2020-11-12,50.05
2020-11-13,50.08
2020-11-16,50.15
2020-11-17,50.11
2020-11-18,50.16
2020-11-19,50.14
2020-11-23,50.16
2020-11-24,50.21
2020-11-25,50.26
2020-11-26,50.25
2020-11-27,50.37
2020-11-30,50.38
2020-12-01,50.34
2020-12-02,50.21
2020-12-03,50.20
2020-12-04,50.27
2020-12-07,50.35
2020-12-08,50.37
2020-12-09,50.30
2020-12-10,50.24
2020-12-11,50.24
2020-12-14,50.32
2020-12-15,50.41
2020-12-16,50.46
2020-12-17,50.51
2020-12-18,50.49
2020-12-21,50.32
2020-12-22,50.55
2020-12-23,50.55
2020-12-28,50.68
2020-12-29,50.74
2020-12-30,50.71
2021-01-04,50.98
2021-01-05,50.93
2021-01-07,51.30
2021-01-08,51.40
2021-01-11,51.16
2021-01-12,51.16
2021-01-13,51.19
2021-01-14,51.24
2021-01-15,50.97
2021-01-18,51.03
2021-01-19,51.06
2021-01-20,51.22
2021-01-21,51.26
2021-01-22,51.15
2021-01-25,51.03
2021-01-26,50.97
2021-01-27,50.63
2021-01-28,50.87
2021-01-29,50.61
2021-02-01,50.89
2021-02-02,51.20
2021-02-03,51.24
2021-02-04,51.29
2021-02-05,51.39
2021-02-08,51.46
2021-02-09,51.31
2021-02-10,51.27
2021-02-11,51.49
2021-02-12,51.36
2021-02-15,51.39
2021-02-16,51.40
2021-02-17,51.26
2021-02-18,51.02
2021-02-19,51.10
2021-02-22,50.92
2021-02-23,50.76
2021-02-24,50.85
2021-02-25,50.68
2021-02-26,50.63
2021-03-01,51.04
2021-03-02,50.98
2021-03-03,50.75
2021-03-04,50.56
2021-03-05,50.47
2021-03-08,50.53
2021-03-09,50.76
2021-03-10,50.64
2021-03-11,50.77
2021-03-12,50.76
2021-03-15,50.76
2021-03-16,50.88
2021-03-17,50.72
2021-03-18,50.52
2021-03-19,50.51
2021-03-22,50.72
2021-03-23,50.74
2021-03-24,50.74
2021-03-25,50.71
2021-03-26,50.89
2021-03-29,50.80
2021-03-30,50.72
2021-03-31,50.86
2021-04-01,51.06
2021-04-06,51.05
2021-04-07,51.02
2021-04-08,51.09
2021-04-09,51.13
2021-04-12,51.02
2021-04-13,51.10
2021-04-14,51.02
2021-04-15,51.26
2021-04-16,51.31
2021-04-19,51.13
2021-04-20,50.93
2021-04-21,51.10
2021-04-22,51.31
2021-04-23,51.93
2021-04-26,52.01
2021-04-27,52.00
2021-04-28,51.84
2021-04-29,51.76
2021-04-30,51.61
2021-05-03,51.62
2021-05-04,51.31
2021-05-05,51.6
2021-05-06,51.49
2021-05-07,51.68
2021-05-10,51.52
2021-05-11,51.25
2021-05-12,51.06
2021-05-14,51.39
2021-05-17,51.29
2021-05-18,51.31
2021-05-19,51.16
2021-05-20,51.44
2021-05-21,51.6
2021-05-25,51.82
2021-05-26,51.83
2021-05-27,51.87
2021-05-28,52.04
2021-05-31,51.94
2021-06-01,52
2021-06-02,52
2021-06-04,52.07
2021-06-07,52.09
2021-06-08,52.02
2021-06-09,52.11
2021-06-10,52.15
2021-06-11,52.3
2021-06-14,52.43
2021-06-15,52.4
2021-06-16,52.42
2021-06-17,52.5
2021-06-18,52.29
2021-06-21,52.29
2021-06-22,52.35
2021-06-23,52.24
2021-06-24,52.51
2021-06-25,52.53
2021-06-28,52.56
2021-06-29,52.64
2021-06-30,52.57
2021-07-01,52.65
2021-07-02,52.81
2021-07-05,52.82
2021-07-06,52.9
2021-07-07,53.03
2021-07-08,52.8
2021-07-09,52.82
2021-07-12,52.92
2021-07-13,52.91
2021-07-14,52.89
2021-07-15,52.79
2021-07-16,52.73
2021-07-19,52.57
2021-07-20,52.7
2021-07-21,52.95
2021-07-22,53.14
2021-07-23,53.38
2021-07-26,53.28
2021-07-27,53.11
2021-07-28,53.37
2021-07-29,53.45
2021-07-30,53.39
2021-08-02,53.55
2021-08-03,53.61
2021-08-04,53.81
2021-08-05,53.92
2021-08-06,53.83
2021-08-09,53.85
2021-08-10,53.83
2021-08-11,53.85
2021-08-12,53.92
2021-08-13,53.97
2021-08-16,53.93
2021-08-17,53.92
2021-08-18,53.95
2021-08-19,53.92
2021-08-20,54.08
2021-08-23,54.23
2021-08-24,54.19
2021-08-25,54.17
2021-08-26,54.04
2021-08-27,54.2
2021-08-30,54.27
2021-08-31,54.15
2021-09-01,54.22
2021-09-02,54.26
2021-09-03,54.13
2021-09-06,54.21
2021-09-07,54.13
2021-09-08,53.94
2021-09-09,53.97
2021-09-10,53.91
2021-09-13,53.87
2021-09-14,53.98
2021-09-15,53.84
2021-09-16,53.92
2021-09-17,53.62
2021-09-20,53.26
2021-09-21,53.54
2021-09-22,53.69
2021-09-23,53.88
2021-09-24,53.64
2021-09-27,53.43
2021-09-28,52.74
2021-09-29,52.72
2021-09-30,52.7
2021-10-01,52.66
2021-10-04,52.32
2021-10-05,52.59
2021-10-06,52.4
2021-10-07,52.75
2021-10-08,52.51
2021-10-11,52.42
2021-10-12,52.44
2021-10-13,52.7
2021-10-14,53.07
2021-10-15,53.27
2021-10-18,52.69
2021-10-19,52.88
2021-10-20,52.88
2021-10-21,53.07
2021-10-22,53.19
